name,x,y
Iceland,-214.0,229.0
Norway,-106.0,83.0
Sweden,-58.0,90.0
Finland,26.0,115.0
Ireland,-255.0,-56.0
United Kingdom,-204.0,-39.0
Portugal,-257.0,-223.0
Spain,-225.0,-221.0
France,-177.0,-140.0
Andorra,-171.0,-191.0
Monaco,-122.0,-178.0
Belgium,-146.0,-86.0
Netherlands,-138.0,-63.0
Luxembourg,-131.0,-101.0
Germany,-107.0,-83.0
Denmark,-106.0,-8.0
Poland,-28.0,-63.0
Czech Republic,-60.0,-95.0
Slovakia,-18.0,-113.0
Switzerland,-117.0,-139.0
Austria,-66.0,-129.0
Hungary,-25.0,-135.0
Italy,-79.0,-189.0
San Marino,-76.0,-175.0
Vatican City,-75.0,-201.0
Liechtenstein,-101.0,-135.0
Slovenia,-59.0,-149.0
Croatia,-50.0,-159.0
Romania,26.0,-147.0
Moldova,64.0,-135.0
Bulgaria,32.0,-189.0
Greece,4.0,-224.0
Russia,193.0,29.0
Ukraine,78.0,-104.0
Belarus,48.0,-50.0
Estonia,41.0,36.0
Latvia,31.0,7.0
Lithuania,18.0,-18.0
Bosnia And Herzegovina,-32.0,-172.0
Serbia,-8.0,-167.0
Albania,-12.0,-211.0
Kosovo,-3.0,-191.0
Montenegro,-17.0,-187.0
North Macedonia,3.0,-204.0
Turkey,112.0,-226.0
Malta,-59.0,-265.0
Cyprus,104.0,-277.0
