name,x,y
Madhya Pradesh,-122.0,46.0
Maharashtra,-193.0,-69.0
Gujarat,-301.0,46.0
Rajasthan,-248.0,152.0
Ladakh,-151.0,387.0
Jammu and Kashmir,-206.0,362.0
Himachal Pradesh,-145.0,307.0
Punjab,-188.0,275.0
Haryana,-168.0,220.0
Uttar Pradesh,-82.0,172.0
Bihar,70.0,124.0
Jharkhand,67.0,60.0
West Bengal,145.0,43.0
Chhattisgarh,-28.0,-5.0
Odisha,35.0,-31.0
Andhra Pradesh,-102.0,-200.0
Telangana,-102.0,-114.0
Tamil Nadu,-121.0,-328.0
Kerala,-169.0,-338.0
Karnataka,-192.0,-217.0
Goa,-234.0,-189.0
Uttarakhand,-95.0,259.0
Sikkim,155.0,184.0
Arunachal Pradesh,312.0,235.0
Assam,265.0,156.0
Meghalaya,235.0,126.0
Tripura,243.0,73.0
Mizoram,282.0,48.0
Manipur,309.0,107.0
Nagaland,316.0,148.0
